season,episode,name,emoji,percent
6,7,Sandor Clegane,😱 🐶 🙌 😳 😁,10.3
6,8,Arya Stark,🙌 👏 💪 🗡 😭,29.6
6,8,Cersei Lannister,🐉 👑 🔥 😱 😭,6.2
6,8,Brienne,😭 💔 💜 😢 🐉,5.9
6,9,Ramsay Bolton,👏 😱 🐶 😭 🙌,20
6,9,Sansa Stark,👏 🙌 😏 👑 👊,19.9
6,9,Jon Snow,😭 😱 👏 🙌 🐺,16.3
6,10,Cersei Lannister,🔥 👏 😱 👑 😎,15.6
6,10,Jon Snow,😭 👑 🔥 👏 🙌,15
7,1,Arya Stark,🐺 👏 🙌 👑 😻,29.1
7,1,Daenerys Targaryen,👑 🐉 🔥 😭 🐲,10.1
7,1,Samwell Tarly,🤢 💩 😉 😷 😩,7.2
7,2,Theon Greyjoy,👑 🙄 😭 🐺 🤦,17.1
7,2,Jon Snow,😭 🙋 👑 👏 😱,13.9
7,2,Arya Stark,💔 😭 😢 🐺 👧,11.9
7,3,Olenna Tyrell,👏 🙌 😭 😢 🌹,18.2
7,3,Jon Snow,🤣 🔥 😭 👍 😁,17.1
7,3,Daenerys Targaryen,🔥 😞 🙄 🐲 😭,17
